Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Power_inlet_vertical","Wurth-694106402002",-4.550394,1.908661,180.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",0.750393,2.965893,-90.000000,top
"C1","CP (1uF)","C_0805_2012Metric",4.650394,0.658661,0.000000,top
"C2","C (0.1uF)","C_0805_2012Metric",2.950394,3.308661,180.000000,top
"C3","22pf","C_0805_2012Metric",3.150394,3.292126,-90.000000,top
"C4","C(0.1uF)","C_0805_2012Metric",4.650394,1.158661,0.000000,top
"C5","22pf","C_0805_2012Metric",3.350394,2.658661,0.000000,top
"C6","C_0805_0.1uf","C_0805_2012Metric",4.950394,2.208661,0.000000,top
"C7","C(0.1uf)","C_0805_2012Metric",2.650394,2.658661,0.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",1.866929,1.458661,0.000000,top
"C9","C_0805_0.1uf","C_0805_2012Metric",1.875394,1.583661,0.000000,top
"D1","LED","LED_0805_2012Metric",1.950394,3.258661,0.000000,top
"D2","LED_0805_GRN","LED_0805_2012Metric",2.150394,0.458661,0.000000,top
"D3","LED_0805_GRN","LED_0805_2012Metric",2.450394,0.458661,0.000000,top
"D4","LED_0805_GRN","LED_0805_2012Metric",2.750394,0.458661,0.000000,top
"D5","LED_0805_GRN","LED_0805_2012Metric",3.050394,0.458661,0.000000,top
"D6","LED_0805_GRN","LED_0805_2012Metric",3.350394,0.458661,0.000000,top
"D7","LED_0805_GRN","LED_0805_2012Metric",3.650394,0.458661,0.000000,top
"D8","LED_0805_GRN","LED_0805_2012Metric",3.950394,0.458661,0.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",3.050394,1.308661,90.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",4.650394,2.808661,0.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",3.950394,3.108661,0.000000,top
"R1","2.2K","R_0805_2012Metric",2.000394,2.958661,180.000000,top
"R2","10K","R_0805_2012Metric",2.250394,2.758661,0.000000,top
"R3","R_0805_4.7K","R_0805_2012Metric",4.450394,2.908661,0.000000,top
"R4","R_0805_4.7K","R_0805_2012Metric",4.450394,2.708661,0.000000,top
"R5","R_0805_10K","R_0805_2012Metric",2.100394,2.458661,0.000000,top
"R9","R_0805_10K","R_0805_2012Metric",2.650394,2.458661,0.000000,top
"R10","R_0805_22K","R_0805_2012Metric",1.800394,1.333661,-90.000000,top
"R11","R_0805_10K","R_0805_2012Metric",3.283858,2.458661,0.000000,top
"R12","R_0805_10K","R_0805_2012Metric",3.783858,2.708661,180.000000,top
"R13","R_0805_4.7K","R_0805_2012Metric",2.450394,3.258661,0.000000,top
"R14","R_0805_4.7K","R_0805_2012Metric",2.250394,3.258661,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",5.050394,2.508661,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.250394,2.208661,180.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.850394,2.208661,180.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.450394,2.208661,180.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.050394,2.208661,180.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",2.300787,2.859055,90.000000,top
"U2","L7805","TO-252-2",4.750394,0.908661,0.000000,top
"U3","DS1307_DIP-8","DIP-8_W7.62mm",1.400787,3.058268,0.000000,top
"U4","MAX7219","DIP-24_W7.62mm",1.400787,1.958858,0.000000,top
"Y1","Crystal(16MHz)","Crystal_SMD_2Pin_3.2x1.5mm",3.150394,2.658661,180.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.250394,3.008661,90.000000,top
